model,f1,f0.5,precision,recall,tnr,train_time,predict_time,total_negatives
nasa_esn_gb,0.6547274265223672,0.6739611519200963,0.6874239798851662,0.625,0.9729693253759275,35.03724307839463,0.21840740413200566,8814
nasa_dpmm_likelihood_experiment,0.5054700437668269,0.4918125270533789,0.4831102813925708,0.53,0.9935664277696267,2.321635438174736,2.146477824304162,8814
nasa_rocket_dpmm_new_cluster,0.49117093034209675,0.47048942109131064,0.4576429141321301,0.53,0.9929987759470748,9.88501342331491,3.1801402423439957,8814
nasa_dpmm_new_cluster_single,0.32351557031294,0.5139627926886495,0.8459645228097283,0.2,0.9305609750907012,2.1956718142439677,2.1259813861149115,8814
nasa_dpmm_new_cluster_full,0.3139654182880099,0.3709057591602988,0.42191808560367056,0.25,0.9282197883280753,2.26901514937238,2.117681796957807,8814
nasa_dpmm_new_cluster_diagonal,0.3102909948682404,0.5003614457012231,0.8457341904899098,0.19,0.9347588421204267,2.1956770158395535,2.1281080449499736,8814
nasa_dpmm_new_cluster_unit,0.2913708832080449,0.2986477884717296,0.3037044095314384,0.28,0.900266642539621,2.219004247246719,2.157635636445953,8814
nasa_rocket_dpmm_new_cluster_unit,0.20743711596171488,0.2523225727488929,0.29485686012261153,0.16,0.995141902913814,2.196464000678644,2.102967750735399,8814
nasa_rocket_dpmm_diagonal,0.19194820914232336,0.1306546751350818,0.10772247768222853,0.88,0.7210061290321887,2.231740396197249,2.130747719508846,8814
nasa_rocket_dpmm_single,0.18176943502487575,0.1232634520819957,0.10148652710721694,0.87,0.7430680203137607,2.2302332593173517,2.117477248354656,8814
nasa_rocket_dpmm_full,0.17830377523268023,0.12049219669308942,0.09907644002853197,0.89,0.735837380436625,7.244036718112667,2.3634045443883758,8814
nasa_ocsvm_experiment,0.10323494836023356,0.06835708174930104,0.055791090363161794,0.69,0.2619755547487597,0.010072934918287275,0.02063590433539409,8814
nasa_rocket_dpmm_unit,0.09622225199025204,0.06253958559130063,0.05070638254780081,0.94,0.468224894164799,2.189849847700538,2.103719263541989,8814
nasa_rocket_dpmm_new_cluster_diagonal,0.08770831279888343,0.16019775949590684,0.3567789814522614,0.05,0.9989811480663319,2.2728698340857902,2.1505597539064363,8814
nasa_dpmm_likelihood_diagonal,0.07915326482296477,0.05104852132566119,0.04127762809076458,0.9603960396039604,0.6957620817360834,2.2913998743382895,2.2385203809272953,8814
nasa_dpmm_likelihood_single,0.07364854843964827,0.04739323480257386,0.0382925165618286,0.9603960396039604,0.6845280795691835,2.2276868849265865,2.1755153609485163,8814
nasa_dpmm_likelihood_unit,0.07000323717135937,0.04499470798469883,0.036339818579520414,0.9504950495049505,0.6779647403741778,2.219488998738731,2.202579207536651,8814
nasa_dpmm_likelihood_full,0.06893703695220467,0.04427748397175099,0.03575164133272747,0.9603960396039604,0.6807554798097695,2.5317674497278726,2.2453830969042894,8814
nasa_rocket_ocsvm,0.06746986769491352,0.0434468743728502,0.03511227122781042,0.86,0.15473896273651336,0.019795473028973793,0.01214085264903739,8814
nasa_rocket_dpmm_new_cluster_full,0.055552752409304205,0.11361760092462642,0.3747447243022464,0.03,0.9993192648059904,7.166904932115136,2.310097139056136,8814
nasa_rockad,0.0,0.0,0.0,0.81,0.0,0.0376650007759652,1.7805290512922334,8814
nasa_rocket_dpmm_new_cluster_single,0.0,0.0,0.0,0.0,1.0,2.1977012157440186,2.265501022338867,169
