model,f1,f0.5,precision,recall,tnr,train_time,predict_time,total_negatives
ops_sat_rocket_ridge,0.9972309065783196,0.9955767994785912,0.9944771065645198,1.0,0.9996298376866157,0.10059258341789241,0.05216941237449641,2697
ops_sat_rocket_xgboost,0.9944245997631518,0.9973192727548909,0.9992584352984798,0.9896373056994818,0.9992584352984798,1.1646632850170135,0.03800302743911739,2697
ops_sat_xgboost,0.9891656018052799,0.9951966869175367,0.9992584352984798,0.9792746113989638,0.9992584352984798,0.36004579067230225,0.27324333786964417,2697
ops_sat_dpmm_unit,0.5728224240372897,0.5335783176771601,0.5102724490263986,0.6528497409326425,0.9476488339061688,2.4049280484517417,2.3407662179734974,2879
ops_sat_dpmm_new_cluster_unit,0.5622717803675116,0.536410746261054,0.5204523475176073,0.6113989637305699,0.9482818196295387,2.242675198449029,2.162500196033054,2879
ops_sat_dpmm_new_cluster_full,0.5617407967403305,0.5380552560694878,0.5233442117766794,0.6062176165803109,0.9482818196295387,2.4689177142249212,2.188735908932156,2879
ops_sat_dpmm_full,0.5251261281908077,0.5143953783504608,0.5074819136023139,0.5440414507772021,0.9472995720576526,2.839459710650974,2.349833753373888,2879
ops_sat_dpmm_new_cluster_single,0.5090529713559807,0.49805825759811,0.4909885563564109,0.5284974093264249,0.9482818196295387,2.2597667111290827,2.1769231160481772,2879
ops_sat_dpmm_single,0.49863752756887453,0.4849169031422971,0.47618175236081123,0.5233160621761658,0.9476488339061688,2.4276034037272134,2.3413087262047663,2879
ops_sat_dpmm_new_cluster_diagonal,0.49538440522076993,0.48540907287162605,0.47897908236389963,0.5129533678756477,0.9482818196295387,2.3105568091074624,2.150531530380249,2879
ops_sat_dpmm_diagonal,0.4877838025710287,0.47931118351350877,0.4738244169530844,0.5025906735751295,0.9476488339061688,2.4340701897939048,2.3258846600850425,2879
ops_sat_rocket_dpmm_diagonal,0.48115787294205475,0.36991518701925336,0.320513780144209,0.9646464646464646,0.9497947621027345,21.500089089075725,11.957000308566624,2879
ops_sat_rocket_dpmm_single,0.4729772502529008,0.36220899389969946,0.31329459600093085,0.9646464646464646,0.9497255030604135,20.83364224433899,21.542688873079086,2879
ops_sat_rocket_dpmm_unit,0.4539898448075072,0.34267870023989977,0.2945351243668371,0.98989898989899,0.9497255030604135,14.945818821589151,6.758777936299641,2879
ops_sat_rocket_dpmm,0.2806940675071308,0.4358677786570889,0.6902623501641018,0.17616580310880828,0.9947898575894408,22.21969477335612,3.481024079852634,2879
ops_sat_rocket_dpmm_new_cluster,0.258050916449572,0.4057053732317557,0.6559088927154079,0.16062176165803108,0.9944425147620701,27.420993672476875,4.014542818069458,2879
ops_sat_rocket_dpmm_new_cluster_diagonal,0.24344024605857675,0.3876943795124858,0.6408629539577786,0.15025906735751296,0.9944425147620701,4.154473198784722,2.843196603986952,2879
ops_sat_rocket_dpmm_new_cluster_single,0.2350301574522562,0.37426231988836023,0.6185481069815908,0.14507772020725387,0.9940951719346995,4.130865971247355,2.8539402219984265,2879
ops_sat_rocket_dpmm_new_cluster_unit,0.21254046662124212,0.3453064663718281,0.5917255161137863,0.12953367875647667,0.994098867071161,3.7752575079600015,2.8208635913001165,2879
ops_sat_ocsvm,0.19704794491804012,0.1352063698791622,0.1118122478159526,0.8290155440414507,0.48149149215744586,0.24129962921142578,0.2514757845136854,2879
ops_sat_ridge,0.19704794491804012,0.1352063698791622,0.1118122478159526,0.8290155440414507,0.48149149215744586,0.2421637641059028,0.24840444988674587,2879
ops_sat_rocket_ocsvm,0.1926640241059351,0.132403610685742,0.10955880330175642,0.7979274611398963,0.5179143428810303,0.24128966861300993,0.20003596941630045,2879
ops_sat_dpmm_new_cluster,0.11590692960728172,0.18074193271234332,0.28822518618441456,0.07253886010362694,0.9882006383465642,3.4150204128689237,2.7302555772993298,2879
ops_sat_dpmm,0.02030428193098873,0.0478443437409055,0.4996526571726294,0.010362694300518135,0.9993053143452588,6.753011359108819,3.5707930194007025,2879
ops_sat_esn_gb,0.00975407333851731,0.022709706644773182,0.19831264491027745,0.005,0.9915632245513871,281.750876733235,1.2933719498770577,2874
ops_sat_rockad,0.0,0.0,0.0,0.04145077720207254,0.0,1.2723532517751057,14.398984750111898,2879
